note_path,note_name,note_hash,note_size,modified_time,stages,output_paths,statuses,processed_dates
/Users/jose/Documents/Obsidian/Evermd/AGUA/10 personalidades que han reclamado que España se dote de un regulador en materia de agua - Blog  iAgua.md,10 personalidades que han reclamado que España se dote de un regulador en materia de agua - Blog  iAgua.md,838b96e066100974d78cec6393de3f15,42392,1747835320.744666,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/10 personalidades que han reclamado que España se dote de un regulador en materia de agua - Blog  iAgua.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/200123 cercanías JC.pdf.md,200123 cercanías JC.pdf.md,b3efe9df6e4067be1b22478bd4812507,263,1747835322.2882578,preprocessed,/Users/jose/Documents/Obsidian/Ever-preprocessed/AGUA/200123 cercanías JC.pdf.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/2017 STRATEGIC DIRECTIONS_ WATER INDUSTRY REPORT.md,2017 STRATEGIC DIRECTIONS_ WATER INDUSTRY REPORT.md,befddf5883f45eebdeab31bd2b659603,1565,1747835320.4912615,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/2017 STRATEGIC DIRECTIONS_ WATER INDUSTRY REPORT.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/A Burgeoning Crisis A Nationwide Assessment of the Geography of Water Affordability in the United States.md,A Burgeoning Crisis A Nationwide Assessment of the Geography of Water Affordability in the United States.md,04378f40980235606c63878c4ec3856c,3735,1747835320.571913,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/A Burgeoning Crisis A Nationwide Assessment of the Geography of Water Affordability in the United States.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/AEAS Guía para Laboratorios de Ensayo de Aguas.md,AEAS Guía para Laboratorios de Ensayo de Aguas.md,eebc1c439d198a62ef362e0cbeddf0f4,396,1747835321.7448385,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/AEAS Guía para Laboratorios de Ensayo de Aguas.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/ANALISIS DE AGUA PARAISO BARRONAL - 2505913.md,ANALISIS DE AGUA PARAISO BARRONAL - 2505913.md,cfc3c5ea19d5311b9265fedeb31d1523,539,1747835320.781387,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/ANALISIS DE AGUA PARAISO BARRONAL - 2505913.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/ANNUAL MEETING SUMMARY World Water Week, Stockholm August 2018.md","ANNUAL MEETING SUMMARY World Water Week, Stockholm August 2018.md",93e070c134d7dfc63c48c705b7767f89,629,1747835320.1123776,triaged,"/Users/jose/Documents/Obsidian/Ever-curated/triage/ANNUAL MEETING SUMMARY World Water Week, Stockholm August 2018.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/ASERPA S.L. - ANALITICAS ANALISIS DE AGUA POTABLE.md,ASERPA S.L. - ANALITICAS ANALISIS DE AGUA POTABLE.md,3ff6bd7c1b8736f4c8e47f5a7d302bb4,13711,1747835321.9624727,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/ASERPA S.L. - ANALITICAS ANALISIS DE AGUA POTABLE.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Affordable water in the US A burgeoning crisis.md,Affordable water in the US A burgeoning crisis.md,a6a05a254a996d5087781be29a25be76,11789,1747835320.4205315,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Affordable water in the US A burgeoning crisis.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/Agua y Ciudades, retos del presente y del futuro.md","Agua y Ciudades, retos del presente y del futuro.md",f820de80d8a5ad4295e8ba308fb95113,23911,1747835320.8702273,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/Agua y Ciudades, retos del presente y del futuro.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/America's Water Innovation at Work_Columbia Water Center.md,America's Water Innovation at Work_Columbia Water Center.md,3f22e6ed329e750cf3d88c38496ad8b6,2315,1747835321.7299118,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/America's Water Innovation at Work_Columbia Water Center.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/An innovative cure for broken water pumps in Africa.md,An innovative cure for broken water pumps in Africa.md,95e5afe169c73a2d7c5296f1b0ef66dd,15251,1747835321.3711505,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/An innovative cure for broken water pumps in Africa.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/Analysis Israel, the next Flint Gov't dawdling as desalinated water kills - Science.md","Analysis Israel, the next Flint Gov't dawdling as desalinated water kills - Science.md",56bbe0bf3a3dd379b4172c3766c0648e,8159,1747835320.8934236,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/Analysis Israel, the next Flint Gov't dawdling as desalinated water kills - Science.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Aragón_El diputado Arrojo y la ministra Tejerina.Gestión del agua.md,Aragón_El diputado Arrojo y la ministra Tejerina.Gestión del agua.md,19859df6636e2ce307fce8b54b434623,4618,1747835320.4672992,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Aragón_El diputado Arrojo y la ministra Tejerina.Gestión del agua.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Are we running out of water.md,Are we running out of water.md,626985aa674804eb31d8479a7309f099,17532,1747835320.844382,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Are we running out of water.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/BIM Task Group  A UK Government Initiative.md,BIM Task Group  A UK Government Initiative.md,d4e88a410521c09a78211ba015c51977,5173,1747835322.0112984,preprocessed,/Users/jose/Documents/Obsidian/Ever-preprocessed/AGUA/BIM Task Group  A UK Government Initiative.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/Berkeley paper on The economies of water, very good.md","Berkeley paper on The economies of water, very good.md",cc4d41f673ef26a6713fa3eae596ea5f,340,1747835320.2235394,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/Berkeley paper on The economies of water, very good.md",completed,2025-10-18 11:35:35
